Name of College,Type,State,Population Density,Enrollment,Asian,African American,Caucasian,Hispanic,Native American,Pacific Islander,Graduate in 4 years,Graduate in 6 years,Average high school GPA,SAT Math Range,SAT English Reading Wrting,ACT Range,English Units,Math Units,Science Units,Science Lab Units,World Language Units,Social Studies Units,Applicants,Admissions Rate,Enrollment Rate,Accepts Common App,"Early Decision, Admit, Priority",Early Due Date,Regular Due Date,Annual Tuition,Room and Board,Requires CSS,Average Cumulative Debt,PLUS Debt Ratio,Net Present Value (10 Years)
Salisbury University,,Maryland,2200,7552,4.00%,14%,71%,4%,1%,1%,48%,70%,3.60,630,630,20-25,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,8171,65%,25%,Yes,Admit,12/1/2025,1/15/2025,$16022,$11480,No,$26940,,$102000
Salve Regina University,,Rhode Island,3211,2160,1.00%,2%,81%,7%,1%,1%,64%,70%,3.40,610,620,23-27,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,4991,72%,17%,Yes,Admit,11/1/2025,2/1/2025,$38386,$14060,No,$29192,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$80000
San Diego State University,,California,4326,30165,13.00%,4%,33%,31%,1%,1%,36%,75%,3.70,650,640,23-28,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,60697,35%,25%,No,,,11/30/2025,$17622,$15996,No,$19969,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$125000
Santa Clara University,,California,6842,5481,16.00%,3%,50%,18%,1%,1%,85%,90%,3.70,730,710,28-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,3,15061,54%,17%,Yes,,11/1/2025,1/7/2025,$47112,,Yes,$27385,,$133000
Scripps College,,California,2701,1059,16.00%,4%,53%,13%,0%,1%,83%,88%,3.90,730,730,29-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,2841,33%,34%,Yes,Decision,11/15/2025,1/3/2025,$52748,$16294,Yes,$20205,,$54000
Seattle University,,Washington,8642,4621,16.00%,3%,44%,12%,1%,1%,64%,74%,3.60,660,670,24-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,3,8576,74%,15%,Yes,Admit,11/15/2025,1/15/2025,$43785,$13288,No,$28297,,$53000
Sewanee - The University of the South,,Tennessee,590,1683,1.00%,5%,82%,6%,1%,0%,72%,77%,3.70,680,700,27-30,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,4218,47%,23%,Yes,Admit,12/1/2025,2/1/2025,,,Yes,$24431,,$47000
Siena College,,New York,2200,3131,4.00%,3%,79%,8%,1%,1%,74%,78%,3.50,630,620,22-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,7626,78%,13%,Yes,Admit,2/15/2025,4/1/2025,$36675,,No,$35874,,$90000
Simmons College,,Massachusetts,14345,1731,10.00%,6%,65%,6%,1%,1%,67%,73%,3.40,650,660,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,3483,60%,19%,Yes,Admit,11/1/2025,2/1/2025,$39660,$15200,No,,,$84000
Skidmore College,,New York,989,2659,5.00%,5%,63%,9%,0%,0%,84%,87%,3.74,700,700,27-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,10053,25%,27%,Yes,Decision,11/15/2025,1/15/2025,,,Yes,$25001,,$62000
Smith College,,Massachusetts,834,2519,11.00%,7%,48%,10%,1%,1%,82%,88%,3.80,750,740,30-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,2,5432,32%,37%,Yes,Decision,11/15/2025,1/15/2025,$49760,$16730,Yes,$23857,,$59000
Soka University of America,,California,7468,411,13.00%,4%,20%,10%,0%,1%,87%,94%,4.00,720,670,27-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,489,37%,59%,Yes,Admit,11/1/2025,1/15/2025,$31310,$12530,No,$22409,,
Southern Methodist University,,Texas,3876,6427,6.00%,5%,65%,11%,1%,1%,71%,81%,3.60,730,710,28-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,13128,49%,22%,Yes,,11/1/2025,1/15/2025,$48365,$16910,Yes,$29601,,$91000
Southwestern University,,Texas,1300,1380,3.00%,5%,61%,24%,1%,1%,67%,74%,3.56,650,670,23-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,4133,43%,20%,Yes,Admit,12/1/2025,2/1/2025,$42000,$12000,No,$32801,,$84000
St. Anselm College,,New Hampshire,3401,1956,1.00%,2%,88%,4%,1%,1%,78%,80%,3.30,650,650,24-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,3892,76%,18%,Yes,Admit,11/15/2025,2/1/2025,$38960,$14146,Yes,$37402,,$81000
St. John Fisher College,,New York,5885,2744,3.00%,4%,84%,5%,1%,1%,63%,71%,3.50,620,610,22-26,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",3,4,4432,65%,22%,Yes,Decision,12/1/2025,,$32540,$12150,No,$35925,,$66000
St. Lawrence University,,New York,106,2373,1.00%,3%,78%,5%,1%,0%,82%,85%,3.60,675,680,25-30,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,2,5866,48%,25%,Yes,Decision,2/1/2025,2/1/2025,$50830,$13190,No,$37919,,$60000
St. Mary's College of Maryland,,Maryland,778,1544,4.00%,9%,71%,8%,1%,1%,70%,78%,3.30,630,650,22-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",4,2,1655,82%,25%,Yes,,11/1/2025,1/15/2025,$27097,$12816,No,$24213,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$91000
St. Norbert College,,Wisconsin,2100,2041,2.00%,1%,87%,4%,1%,1%,69%,73%,3.50,610,620,22-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,3860,79%,17%,Yes,Priority,4/1/2025,,$37314,$9954,No,$33948,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$62000
St. Olaf College,,Minnesota,2409,3004,7.00%,3%,71%,6%,1%,1%,85%,88%,3.60,700,690,25-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",4,4,5949,43%,31%,Yes,Decision,11/15/2025,1/15/2025,$46000,$10430,Yes,$27945,,$75000
Stanford University,,California,5000,7056,22.00%,7%,36%,16%,1%,1%,75%,95%,4.00,780,760,32-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,44073,5%,82%,Yes,Admit,11/1/2025,1/2/2025,$48987,$15112,Yes,$21238,,$307000
State University of New York at Binghamton,,New York,4356,13693,14.00%,5%,57%,11%,1%,1%,73%,82%,3.70,720,710,28-31,4.0,,"Biology, Chemistry","Biology, Chemistry",3,2,33467,40%,20%,Yes,Admit,11/1/2025,,$21550,$14577,No,$25718,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$143000
State University of New York - College of Environmental Science and Forestry,,New York,5725,1793,4.00%,2%,80%,6%,1%,0%,49%,78%,3.80,650,650,24-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,1815,52%,35%,Yes,Decision,12/1/2025,,$16320,$15160,No,$24269,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$84000
State University of New York - Stony Brook University,,New York,2300,17215,24.00%,7%,33%,12%,1%,1%,53%,72%,3.80,730,680,26-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",3,4,35313,42%,21%,Yes,Priority,1/15/2025,,$24180,$13446,No,$24656,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",
State University of New York -  University at Buffalo,,New York,6436,20735,15.00%,8%,48%,7%,1%,1%,57%,75%,3.60,670,640,24-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,4,28088,57%,26%,Yes,Admit,11/15/2025,,$26814,,No,,,$92000
Stevens Institute of Technology,,New Jersey,42484,3114,12.00%,2%,67%,10%,1%,1%,42%,83%,3.80,760,710,29-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,8335,44%,21%,Yes,Decision,11/15/2025,1/15/2025,$50370,$15244,Yes,$48244,,$162000
Stockton University,,New Jersey,419,8242,6.00%,8%,68%,13%,1%,1%,54%,73%,3.40,590,610,19-25,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,5706,82%,34%,Yes,Priority,2/1/2025,5/1/2025,$15599,$12120,No,$33201,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$80000
Stonehill College,,Massachusetts,792,2494,2.00%,4%,85%,4%,1%,0%,77%,80%,3.30,630,640,23-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,6260,72%,15%,Yes,Admit,11/1/2025,1/15/2025,$41300,$15760,Yes,$35462,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$76000
Susquehanna University,,Pennsylvania,3234,2200,2.00%,6%,80%,7%,1%,1%,66%,71%,3.50,610,630,22-28,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,6033,68%,15%,Yes,Admit,11/1/2025,2/1/2025,$43720,,No,$36882,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$76000
Swarthmore College,,Pennsylvania,4469,1629,17.00%,7%,41%,12%,1%,1%,89%,94%,3.90,780,760,31-34,4.0,,"Biology, Chemistry, Physics",,3,3,9382,11%,39%,Yes,Decision,1/1/2025,1/1/2025,$50424,$14952,Yes,$22957,,$107000
Syracuse University,,New York,5725,14788,7.00%,7%,57%,10%,1%,1%,70%,83%,3.60,680,670,25-30,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",3,4,33099,47%,24%,Yes,Decision,1/1/2025,1/1/2025,$45022,,Yes,$37753,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$69000
Taylor University,,Indiana,1205,1858,3.00%,4%,83%,4%,1%,1%,71%,79%,3.80,640,650,22-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,1673,87%,31%,No,Priority,11/15/2025,1/1/2025,$32640,,No,$29411,,$29000
Temple University,,Pennsylvania,11797,29007,12.00%,13%,56%,7%,1%,1%,45%,71%,3.50,650,660,24-29,4.0,,"Biology, Chemistry",Biology,2,2,35880,57%,25%,Yes,Decision,11/1/2025,2/1/2025,$27528,$11566,No,$37708,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$82000
Texas A&M University - College Station,,Texas,1978,52571,7.00%,3%,62%,23%,1%,1%,54%,82%,3.65,690,670,25-30,4.0,,"Biology, Chemistry, Physics",Biology,2,3,37191,70%,45%,No,,,12/1/2025,$33803,$12250,No,$24072,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$135000
Texas Christian University,,Texas,2181,8983,3.00%,5%,71%,13%,1%,1%,69%,83%,3.70,670,660,25-30,4.0,,"Biology, Chemistry, Physics",Biology,2,3,19740,41%,24%,Yes,,11/1/2025,2/1/2025,$42670,,Yes,$36550,,$45000
Thomas Aquinas College,,California,6605,370,2.00%,1%,72%,16%,1%,1%,73%,79%,3.80,670,710,25-30,4.0,,"Biology, Chemistry",Biology,2,2,192,72%,65%,No,,,,$25000,$8400,No,$16986,,$30000
Towson University,,Maryland,3689,19367,6.00%,21%,57%,8%,1%,1%,47%,72%,3.60,600,610,21-25,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,12747,77%,28%,No,Admit,12/1/2025,1/15/2025,$19138,$12544,No,$25483,,$114000
Transylvania University,,Kentucky,1043,962,1.00%,4%,80%,5%,1%,0%,69%,75%,3.70,670,690,25-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,1567,96%,19%,Yes,Admit,12/1/2025,2/1/2025,$37170,$10460,No,$30514,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$50000
Trinity University,,Texas,3242,2426,7.00%,4%,56%,21%,1%,0%,72%,80%,3.60,700,710,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,7663,38%,22%,Yes,,11/1/2025,1/15/2025,$42360,$13464,Yes,$38605,,$96000
Truman State University,,Missouri,1200,5241,3.00%,4%,79%,3%,1%,1%,59%,75%,3.80,710,700,24-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,5263,68%,37%,Yes,Priority,12/1/2025,,$4136,$8630,No,$24811,,$112000
Tufts University,,Massachusetts,6500,5492,12.00%,4%,57%,7%,0%,0%,87%,93%,3.90,780,760,31-34,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",3,4,21101,15%,45%,Yes,Decision,1/1/2025,1/1/2025,$52430,,Yes,$24267,,$122000
Tulane University,,Louisiana,2311,6571,5.00%,4%,75%,7%,1%,1%,73%,83%,3.60,750,740,30-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,35622,22%,25%,Yes,Decision,11/1/2025,1/15/2025,$48920,$14536,Yes,$31642,,$61000
Union College (NY),,New York,6015,2163,6.00%,4%,72%,7%,1%,0%,79%,85%,3.40,730,700,29-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,6676,37%,23%,Yes,Decision,11/15/2025,1/15/2025,$53019,$13119,Yes,$33045,,$91000
United States Air Force Academy,Military,Colorado,751,4276,5.00%,6%,63%,11%,1%,1%,77%,79%,3.90,710,700,29-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",2,3,10202,12%,99%,No,,,12/31/2025,$0,,No,,,
United States Merchant Marine Academy,Military,New York,1300,952,8.00%,3%,75%,10%,1%,1%,81%,87%,3.60,660,660,26-30,3.0,,Biology,Biology,2,3,1855,22%,68%,No,,,3/1/2025,$0,,No,$7500,,$298000
United States Military Academy,Military,New York,293,4491,8.00%,12%,62%,10%,1%,1%,82%,86%,3.73,710,690,23-28,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,3,12973,10%,98%,No,,,2/28/2025,$0,,No,,,
United States Naval Academy,Military,Maryland,5455,4495,7.00%,7%,63%,12%,1%,1%,90%,91%,4.10,690,680,26-33,4.0,,"Biology, Chemistry",Biology,2,2,16299,8%,87%,No,,,1/31/2025,$0,,No,,,
University of California - Berkeley,,California,11683,27496,35.00%,2%,27%,14%,1%,1%,74%,91%,3.90,770,730,29-34,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,78924,15%,46%,No,,,11/30/2025,$37902,$16042,No,$17869,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$170000
University of California - Davis,,California,6889,29982,28.00%,2%,25%,21%,1%,1%,53%,83%,3.85,710,650,25-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,70214,44%,19%,No,,,11/30/2025,$37902,$14838,No,$19588,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$138000
University of California - Irvine,,California,4211,29307,36.00%,2%,14%,26%,1%,1%,70%,85%,3.75,730,680,24-30,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,85102,37%,21%,No,,,11/30/2025,$37902,,No,$20628,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$150000
University of California - Los Angeles,,California,8483,30990,28.00%,3%,27%,22%,1%,1%,75%,91%,3.90,760,730,27-33,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,102242,16%,73%,No,,,11/30/2025,$37902,,No,$21596,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$162000
University of California - Riverside,,California,4063,20044,34.00%,3%,11%,41%,1%,1%,53%,75%,3.75,660,640,23-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,43682,57%,18%,No,,,11/30/2025,$37902,$17000,No,$21838,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$122000
University of California - San Diego,,California,4326,9892,38.00%,2%,19%,18%,1%,1%,55%,84%,3.85,720,660,26-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,88428,34%,19%,No,,,11/30/2025,$37902,$13254,No,$21660,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$155000
University of California - Santa Barbara,,California,4726,22186,21.00%,2%,34%,26%,1%,1%,70%,87%,3.85,760,710,26-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,80319,33%,17%,No,,,11/30/2025,$37902,$14778,No,$20978,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$128000
University of California - Santa Cruz,,California,5060,17577,22.00%,2%,31%,28%,1%,1%,53%,77%,3.70,690,680,24-30,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,52975,51%,15%,No,,,11/30/2025,$37902,$16071,No,$22580,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$90000
University of Central Florida,,Florida,1017,56697,6.00%,11%,49%,26%,1%,1%,40%,70%,3.90,660,660,24-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,37693,50%,37%,No,Priority,1/1/2025,5/1/2025,$37902,$10011,No,$21911,,$106000
The University of Chicago,,Illinois,11898,6264,18.00%,5%,42%,13%,1%,0%,88%,93%,4.00,800,780,32-35,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",3,2,27694,9%,72%,Yes,,11/1/2025,1/2/2025,$50997,$15093,Yes,$23852,,$144000
University of Connecticut,,Connecticut,1939,19030,11.00%,6%,60%,10%,1%,1%,70%,82%,3.70,650,660,26-31,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,35980,49%,22%,Yes,Priority,12/1/2025,1/15/2025,$34066,$13452,No,$24999,,$129000
University of Denver,,Colorado,4520,5753,4.00%,2%,69%,11%,1%,1%,65%,75%,3.70,670,680,25-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,19904,58%,13%,Yes,,11/1/2025,1/15/2025,$49392,$13005,Yes,$31077,,$72000
University of Florida,,Florida,2112,33654,8.00%,6%,55%,22%,1%,1%,67%,87%,3.90,710,700,28-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,32747,42%,47%,No,,,11/1/2025,$28658,$9910,No,$21028,,$153000
University of Georgia,,Georgia,852,22919,10.00%,8%,69%,6%,1%,1%,63%,85%,3.70,680,690,26-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,3,24165,54%,45%,No,Admit,10/15/2025,1/1/2025,$29844,,No,$21730,,$127000
University of Mary Washington,,Virginia,2714,4366,4.00%,8%,69%,9%,1%,1%,60%,71%,3.60,610,650,22-27,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,5977,74%,22%,Yes,Admit,11/15/2025,2/1/2025,$20362,$11118,No,$19444,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$93000
"University of Maryland, College Park",,Maryland,5757,29273,17.00%,12%,50%,10%,1%,1%,67%,85%,3.80,750,720,29-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,33907,45%,27%,No,Admit,11/1/2025,1/20/2025,$31688,$12004,No,$26818,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$151000
University of Massachusetts - Amherst,,Massachusetts,1370,23010,10.00%,4%,64%,6%,1%,1%,67%,77%,3.70,690,670,26-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,41922,58%,20%,Yes,Admit,11/5/2025,1/15/2025,$32204,,No,$31397,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$102000
University of Miami,,Florida,3953,10608,5.00%,8%,42%,23%,1%,1%,72%,84%,3.50,720,690,28-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,30634,37%,20%,Yes,,11/1/2025,1/1/2025,$47040,$13666,Yes,$21500,,$94000
University of Michigan - Ann Arbor,,Michigan,4354,29550,14.00%,4%,61%,6%,1%,1%,77%,92%,3.90,770,730,30-33,4.0,,"Biology, Chemistry, Physics",Biology,2,1,59886,27%,43%,Yes,Admit,11/1/2025,2/1/2025,$48814,$11198,Yes,$25712,,$176000
University of Minnesota - Twin Cities,,Minnesota,7821,31535,10.00%,5%,68%,4%,1%,1%,64%,80%,3.70,760,720,26-31,4.0,,"Biology, Chemistry, Physics",Biology,2,3,43720,50%,29%,Yes,Admit,11/1/2025,1/1/2025,$23806,,No,$26006,,$121000
University of New Hampshire,,New Hampshire,590,12847,3.00%,1%,83%,3%,1%,1%,68%,77%,3.50,630,630,23-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,19964,77%,20%,Yes,Admit,11/15/2025,2/1/2025,$29340,$11266,No,$38799,,$86000
The University of North Carolina at Chapel Hill,,North Carolina,2700,18683,11.00%,8%,62%,8%,1%,1%,84%,91%,3.80,720,720,27-32,4.0,,"Biology, Chemistry, Physics",Biology,2,1,40919,24%,45%,Yes,Admit,10/15/2025,1/15/2025,$32602,$11556,Yes,$20127,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$143000
The University of North Carolina at Wilmington,,North Carolina,2600,14183,2.00%,4%,78%,7%,1%,1%,54%,72%,3.70,650,660,23-27,4.0,,"Biology, Chemistry, Physics",Biology,2,1,11677,67%,28%,Yes,Admit,11/1/2025,2/1/2025,$17246,$10780,No,$27397,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$78000
University of Notre Dame,,Indiana,4700,8527,5.00%,4%,69%,11%,1%,1%,92%,95%,3.90,770,750,32-34,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,19564,19%,55%,Yes,Admit,11/1/2025,1/1/2025,$52884,$15410,Yes,$28406,,$157000
University of Oregon,,Oregon,3572,19163,6.00%,2%,58%,12%,1%,1%,52%,72%,3.60,630,640,22-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,20317,83%,23%,Yes,Admit,11/1/2025,1/15/2025,$32535,$12450,No,$25542,,$100000
University of Pennsylvania,,Pennsylvania,11797,10033,21.00%,7%,43%,10%,1%,1%,86%,96%,3.90,790,770,32-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",4,2,40413,9%,65%,Yes,Decision,11/1/2025,1/5/2025,$49220,$15616,Yes,$26157,,$222000
University of Pittsburgh - Pittsburgh Campus,,Pennsylvania,5461,19134,10.00%,5%,72%,4%,1%,1%,65%,81%,3.80,710,700,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,27679,60%,24%,Yes,,,,$29692,$10950,No,$38045,,$63000
University of Puget Sound,,Washington,4292,2413,6.00%,1%,71%,8%,1%,1%,72%,78%,3.50,680,690,25-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,3,5958,84%,12%,Yes,,11/15/2025,1/15/2025,$49510,$12540,No,$33130,,$17000
University of Richmond,,Virginia,3789,2907,9.00%,7%,57%,9%,1%,0%,83%,88%,3.84,750,710,29-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,10013,33%,24%,Yes,,11/1/2025,1/1/2025,$52610,$12250,Yes,$27670,,$108000
University of Saint Thomas,,Minnesota,5900,6085,4.00%,3%,81%,5%,1%,1%,65%,77%,3.60,670,660,24-29,4.0,,"Biology, Chemistry",Biology,4,2,6255,85%,26%,Yes,Admit,11/1/2025,1/15/2025,$40224,$10054,No,$40403,,$109000
University of San Diego,,California,4326,5677,8.00%,4%,52%,20%,1%,1%,66%,78%,3.70,680,670,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,2,14739,50%,16%,Yes,,,12/15/2025,$48750,$12980,No,$29646,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$78000
University of Scranton,,Pennsylvania,3066,3695,2.00%,2%,80%,9%,1%,1%,72%,77%,3.50,640,640,23-28,4.0,,Biology,Biology,2,4,10002,75%,12%,Yes,Admit,11/15/2025,3/1/2025,$42162,,No,$42423,,$55000
University of South Carolina - Columbia,,South Carolina,978,25950,3.00%,10%,75%,5%,1%,1%,59%,75%,3.70,670,660,25-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,2,26019,72%,31%,No,Decision,10/15/2025,12/1/2025,$31962,$10008,No,$28518,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$88000
University of Southern California,,California,8483,19059,21.00%,5%,40%,14%,1%,1%,77%,92%,3.80,770,730,30-34,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,55676,16%,37%,Yes,Priority,12/1/2025,1/15/2025,$53448,$14885,Yes,$27882,,$133000
University of Tennessee at Knoxville,,Tennessee,1816,22151,4.00%,7%,78%,4%,1%,0%,46%,70%,3.60,650,660,24-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",2,1,18872,77%,34%,Yes,Priority,11/1/2025,12/15/2025,$29300,$10696,No,$24420,,$88000
The University of Texas at Austin,,Texas,3182,39965,21.00%,4%,41%,23%,1%,1%,58%,83%,3.70,740,720,26-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",2,4,51033,37%,45%,No,Priority,11/1/2025,12/1/2025,$36744,$10070,No,$25338,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$142000
University of Vermont,,Vermont,4122,10513,3.00%,1%,81%,4%,1%,1%,62%,75%,3.70,670,680,25-30,4.0,,"Biology, Chemistry",Biology,2,3,21991,67%,18%,Yes,Admit,11/1/2025,1/15/2025,$39120,$12022,No,$27006,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$94000
University of Virginia,,Virginia,4687,16089,14.00%,7%,58%,7%,1%,1%,88%,95%,3.80,740,730,29-33,4.0,,"Biology, Chemistry","Biology, Chemistry",2,1,36779,27%,38%,Yes,Admit,11/1/2025,1/1/2025,$44241,$10726,Yes,$24598,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$144000
University of Washington,,Washington,8642,30475,24.00%,3%,40%,8%,1%,1%,65%,84%,3.80,730,690,27-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,3,44877,46%,33%,No,,,11/15/2025,$34791,,No,$21900,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$162000
University of Wisconsin - La Crosse,,Wisconsin,2388,9397,2.00%,1%,90%,3%,1%,1%,42%,71%,3.60,660,670,22-26,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,5880,81%,44%,No,Priority,2/1/2025,2/1/2025,$32738,,No,$26487,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$119000
University of Wisconsin - Madison,,Wisconsin,3233,29931,6.00%,2%,73%,5%,1%,1%,61%,87%,3.80,760,690,27-31,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",3,3,35615,54%,35%,Yes,Admit,11/1/2025,2/1/2025,$32739,,No,$27831,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$125000
Ursinus College,,Pennsylvania,3263,1485,4.00%,7%,74%,7%,1%,1%,75%,77%,3.30,650,660,24-30,4.0,,Biology,Biology,2,1,3488,78%,15%,Yes,Admit,11/1/2025,2/1/2025,$52050,$12750,No,$38537,,$70000
